letter	frequency
a	0.0764
à	0.0049
â	0.0005
b	0.0090
c	0.0326
ç	0.0009
d	0.0367
e	0.1472
é	0.0150
è	0.0027
ê	0.0023
ë	0.0000
f	0.0107
g	0.0087
h	0.0074
i	0.0753
î	0.0005
ï	0.0001
j	0.0055
k	0.0005
l	0.0546
m	0.0297
n	0.0710
o	0.0538
ô	0.0002
œ	0.0002
p	0.0252
q	0.0136
r	0.0655
s	0.0795
t	0.0724
u	0.0631
ù	0.0006
v	0.0163
w	0.0007
x	0.0043
y	0.0013
z	0.0033
